----- Diccionario de Codificacion por Huffman de Argentina.txt -----
Simbolo -> Frecuencia -> Codigo
\n -> 63 -> 01001
\s -> 369 -> 110
¡ -> 6 -> 101100001
! -> 6 -> 101101011
" -> 4 -> 011000010
, -> 18 -> 0110111
. -> 16 -> 0100011
: -> 8 -> 01100000
; -> 4 -> 001010101
¿ -> 4 -> 010000110
? -> 4 -> 011000100
A -> 13 -> 0010001
B -> 2 -> 10110111111
C -> 16 -> 0100010
D -> 6 -> 101101001
E -> 6 -> 101101010
F -> 1 -> 01100001100
G -> 1 -> 01100001101
I -> 2 -> 0100001000
J -> 1 -> 01100001110
L -> 11 -> 10110011
M -> 3 -> 1011010001
N -> 4 -> 011000101
O -> 5 -> 101100000
P -> 9 -> 01100011
Q -> 1 -> 01100001111
R -> 1 -> 10110111110
S -> 15 -> 0100000
T -> 4 -> 010000101
U -> 3 -> 001010100
V -> 2 -> 0100001001
Y -> 9 -> 01101100
a -> 215 -> 000
á -> 3 -> 1011010000
b -> 36 -> 100010
c -> 44 -> 100011
d -> 77 -> 01111
e -> 204 -> 1111
f -> 14 -> 0010100
g -> 34 -> 011001
h -> 12 -> 10110110
é -> 4 -> 010000111
i -> 101 -> 10111
j -> 6 -> 101101110
l -> 121 -> 0011
m -> 35 -> 011010
í -> 11 -> 10110001
n -> 136 -> 0101
o -> 203 -> 1110
p -> 25 -> 001001
q -> 7 -> 00101011
ñ -> 3 -> 1011011110
r -> 175 -> 1010
ó -> 9 -> 01101101
s -> 158 -> 1001
t -> 77 -> 01110
u -> 78 -> 10000
v -> 31 -> 001011
y -> 11 -> 10110010
z -> 12 -> 0010000

----- Diccionario de Codificacion por Huffman de Hungaro.txt -----
Simbolo -> Frecuencia -> Codigo
\n -> 61 -> 00110
„ -> 1 -> 00101101100
\s -> 298 -> 011
! -> 6 -> 111001010
" -> 1 -> 00101101101
, -> 31 -> 010000
- -> 1 -> 01001001111
. -> 16 -> 0100010
: -> 8 -> 01001011
; -> 4 -> 010001101
? -> 4 -> 010010000
A -> 26 -> 1111001
B -> 3 -> 1001011111
C -> 3 -> 1110010011
D -> 5 -> 111001000
E -> 4 -> 010001110
F -> 1 -> 00101101110
G -> 1 -> 01001001001
H -> 4 -> 010001100
É -> 7 -> 00101100
I -> 2 -> 0100100101
J -> 1 -> 01001001110
K -> 9 -> 01001101
L -> 6 -> 111001011
M -> 4 -> 010010001
N -> 5 -> 100101110
P -> 3 -> 1110010010
Q -> 1 -> 10010111100
ő -> 21 -> 1010010
R -> 1 -> 10010111101
S -> 9 -> 01001100
T -> 4 -> 010001111
V -> 2 -> 0010110101
Ú -> 1 -> 00101101111
Z -> 1 -> 01001001000
á -> 70 -> 10000
a -> 184 -> 1101
b -> 37 -> 100100
c -> 14 -> 11110100
d -> 47 -> 111000
e -> 174 -> 1011
f -> 18 -> 0100111
g -> 89 -> 11000
h -> 26 -> 1111000
é -> 57 -> 00100
i -> 75 -> 10001
j -> 28 -> 1111011
k -> 102 -> 11101
l -> 110 -> 11111
m -> 62 -> 00111
í -> 9 -> 10010110
n -> 116 -> 0001
o -> 83 -> 10101
p -> 14 -> 11110101
ű -> 2 -> 0100100110
r -> 94 -> 11001
ó -> 30 -> 001010
s -> 139 -> 0101
t -> 116 -> 0000
u -> 25 -> 1110011
ö -> 19 -> 1001010
v -> 22 -> 1010011
x -> 1 -> 0010110100
y -> 40 -> 101000
ú -> 8 -> 01001010
z -> 81 -> 10011
ü -> 16 -> 0010111

----- Diccionario de Codificacion por Huffman de Imagen.raw -----
Simbolo -> Frecuencia -> Codigo
0 -> 5333 -> 100
1 -> 276 -> 1010011
2 -> 255 -> 1010010
3 -> 224 -> 1010001
4 -> 1884 -> 10101
5 -> 146 -> 1010000
6 -> 52854 -> 11
7 -> 4570 -> 1011
\n -> 65537 -> 0

