----- Diccionario de Codificacion por  ShannonFano en Argentina.txt -----
Simbolo -> Frecuencia -> Codigo
\n -> 63 -> 11010
\s -> 369 -> 000
¡ -> 6 -> 111110010
! -> 6 -> 111110011
" -> 4 -> 1111101111
, -> 18 -> 1110100
. -> 16 -> 1110101
: -> 8 -> 111101111
; -> 4 -> 111111000
¿ -> 4 -> 1111110010
? -> 4 -> 1111110011
A -> 13 -> 111011111
B -> 2 -> 1111111100
C -> 16 -> 1110110
D -> 6 -> 111110100
E -> 6 -> 111110101
F -> 1 -> 11111111100
G -> 1 -> 11111111101
I -> 2 -> 11111111010
J -> 1 -> 11111111110
L -> 11 -> 111100110
M -> 3 -> 1111111000
N -> 4 -> 111111010
O -> 5 -> 1111101110
P -> 9 -> 11110101
Q -> 1 -> 111111111110
R -> 1 -> 111111111111
S -> 15 -> 11101110
T -> 4 -> 1111110110
U -> 3 -> 1111111001
V -> 2 -> 11111111011
Y -> 9 -> 11110110
a -> 215 -> 001
á -> 3 -> 1111111010
b -> 36 -> 1101110
c -> 44 -> 110110
d -> 77 -> 11000
e -> 204 -> 010
f -> 14 -> 111011110
g -> 34 -> 111000
h -> 12 -> 1111000
i -> 101 -> 10110
é -> 4 -> 1111110111
j -> 6 -> 111110110
l -> 121 -> 1010
m -> 35 -> 1101111
í -> 11 -> 111100111
n -> 136 -> 1001
o -> 203 -> 0110
p -> 25 -> 1110011
q -> 7 -> 11111000
ñ -> 3 -> 1111111011
r -> 175 -> 0111
s -> 158 -> 1000
ó -> 9 -> 111101110
t -> 77 -> 11001
u -> 78 -> 10111
v -> 31 -> 1110010
y -> 11 -> 11110100
z -> 12 -> 11110010

----- Diccionario de Codificacion por  ShannonFano en Hungaro.txt -----
Simbolo -> Frecuencia -> Codigo
\n -> 61 -> 11000
„ -> 1 -> 11111111001
\s -> 298 -> 000
! -> 6 -> 11111010
" -> 1 -> 11111111010
, -> 31 -> 110110
- -> 1 -> 111111110110
. -> 16 -> 1111000
: -> 8 -> 11111000
; -> 4 -> 111111000
? -> 4 -> 1111110010
A -> 26 -> 111000
B -> 3 -> 1111111000
C -> 3 -> 1111111001
D -> 5 -> 1111101110
E -> 4 -> 1111110011
F -> 1 -> 111111110111
G -> 1 -> 11111111100
H -> 4 -> 111111010
É -> 7 -> 111110011
I -> 2 -> 11111110110
J -> 1 -> 111111111010
K -> 9 -> 11110110
L -> 6 -> 111110110
M -> 4 -> 1111110110
N -> 5 -> 1111101111
P -> 3 -> 1111111010
ő -> 21 -> 1110110
Q -> 1 -> 111111111011
R -> 1 -> 111111111100
S -> 9 -> 111101110
T -> 4 -> 1111110111
V -> 2 -> 11111110111
Ú -> 1 -> 111111111101
Z -> 1 -> 111111111110
a -> 184 -> 001
á -> 70 -> 101110
b -> 37 -> 110101
c -> 14 -> 11110100
d -> 47 -> 110011
e -> 174 -> 0100
f -> 18 -> 11101111
g -> 89 -> 10011
h -> 26 -> 1110010
i -> 75 -> 10110
é -> 57 -> 110010
j -> 28 -> 1101111
k -> 102 -> 1000
l -> 110 -> 01111
m -> 62 -> 101111
í -> 9 -> 111101111
n -> 116 -> 0110
o -> 83 -> 10100
p -> 14 -> 11110101
ű -> 2 -> 11111111000
r -> 94 -> 10010
s -> 139 -> 0101
ó -> 30 -> 1101110
t -> 116 -> 01110
u -> 25 -> 1110011
v -> 22 -> 111010
ö -> 19 -> 11101110
x -> 1 -> 111111111111
y -> 40 -> 110100
z -> 81 -> 10101
ú -> 8 -> 111110010
ü -> 16 -> 1111001

----- Diccionario de Codificacion por  ShannonFano en Imagen.raw -----
Simbolo -> Frecuencia -> Codigo
0 -> 5333 -> 110
1 -> 276 -> 111110
2 -> 255 -> 1111110
3 -> 224 -> 11111110
4 -> 1884 -> 11110
5 -> 146 -> 11111111
6 -> 52854 -> 10
7 -> 4570 -> 1110
\n -> 65537 -> 0

